event_id,event_status,current_line,current_total,capture_time,ML_away,ML_home
179631777,NOT_STARTED,-5.5,42.0,2020-12-16 16:49:26.866907-05:00,185,-230
179631778,NOT_STARTED,-14.0,67.5,2020-12-16 16:49:26.866907-05:00,350,-530
179633143,NOT_STARTED,-3.5,63.5,2020-12-16 16:49:26.866907-05:00,123,-152
179631827,NOT_STARTED,14.0,51.5,2020-12-16 16:49:26.866907-05:00,-625,430
179626826,NOT_STARTED,-21.0,57.5,2020-12-16 16:49:26.866907-05:00,800,-1430
179625640,NOT_STARTED,5.5,57.5,2020-12-16 16:49:26.866907-05:00,-195,155
179631863,NOT_STARTED,-6.5,66.0,2020-12-16 16:49:26.866907-05:00,160,-200
179631830,NOT_STARTED,-10.5,57.5,2020-12-16 16:49:26.866907-05:00,280,-375
179631832,NOT_STARTED,2.5,37.0,2020-12-16 16:49:26.866907-05:00,-148,120
179631864,NOT_STARTED,-3.0,54.5,2020-12-16 16:49:26.866907-05:00,120,-148
179631833,NOT_STARTED,2.5,78.0,2020-12-16 16:49:26.866907-05:00,-127,105
179631834,NOT_STARTED,2.0,50.5,2020-12-16 16:49:26.866907-05:00,-127,105
179625583,NOT_STARTED,-10.5,60.5,2020-12-16 16:49:26.866907-05:00,275,-360
179631835,NOT_STARTED,-12.0,47.5,2020-12-16 16:49:26.866907-05:00,350,-480
179631838,NOT_STARTED,6.5,54.5,2020-12-16 16:49:26.866907-05:00,-230,180
179631841,NOT_STARTED,-15.5,52.5,2020-12-16 16:49:26.866907-05:00,500,-715
179631847,NOT_STARTED,-7.5,59.0,2020-12-16 16:49:26.866907-05:00,210,-278
179631850,NOT_STARTED,-2.5,50.5,2020-12-16 16:49:26.866907-05:00,108,-132
179625581,NOT_STARTED,-17.0,74.5,2020-12-16 16:49:26.866907-05:00,480,-770
179625582,NOT_STARTED,-14.0,45.5,2020-12-16 16:49:26.866907-05:00,460,-670
179631849,NOT_STARTED,7.5,54.0,2020-12-16 16:49:26.866907-05:00,-250,200
179631777,NOT_STARTED,-5.5,42.5,2020-12-16 18:17:56.664901-05:00,+185,-230
179631778,NOT_STARTED,-14.0,67.5,2020-12-16 18:17:56.664901-05:00,+350,-530
179633143,NOT_STARTED,-3.5,63.5,2020-12-16 18:17:56.664901-05:00,+123,-152
179631827,NOT_STARTED,14.0,51.5,2020-12-16 18:17:56.664901-05:00,-625,+430
179626826,NOT_STARTED,-21.0,57.5,2020-12-16 18:17:56.664901-05:00,+800,-1430
179625640,NOT_STARTED,5.5,57.5,2020-12-16 18:17:56.664901-05:00,-195,+155
179631863,NOT_STARTED,-6.5,66.0,2020-12-16 18:17:56.664901-05:00,+160,-200
179631830,NOT_STARTED,-10.5,57.5,2020-12-16 18:17:56.664901-05:00,+280,-375
179631832,NOT_STARTED,2.5,37.0,2020-12-16 18:17:56.664901-05:00,-148,+120
179631864,NOT_STARTED,-3.0,54.5,2020-12-16 18:17:56.664901-05:00,+120,-148
179631833,NOT_STARTED,2.5,78.0,2020-12-16 18:17:56.664901-05:00,-127,+105
179631834,NOT_STARTED,2.0,50.5,2020-12-16 18:17:56.664901-05:00,-127,+105
179625583,NOT_STARTED,-10.5,60.5,2020-12-16 18:17:56.664901-05:00,+275,-360
179631835,NOT_STARTED,-12.0,47.5,2020-12-16 18:17:56.664901-05:00,+350,-480
179631838,NOT_STARTED,6.5,54.5,2020-12-16 18:17:56.664901-05:00,-230,+180
179631841,NOT_STARTED,-15.5,52.0,2020-12-16 18:17:56.664901-05:00,+500,-715
179631847,NOT_STARTED,-7.5,59.0,2020-12-16 18:17:56.664901-05:00,+210,-278
179631850,NOT_STARTED,-2.5,50.5,2020-12-16 18:17:56.664901-05:00,+108,-132
179625581,NOT_STARTED,-17.0,74.0,2020-12-16 18:17:56.664901-05:00,+480,-770
179625582,NOT_STARTED,-14.0,45.5,2020-12-16 18:17:56.664901-05:00,+460,-670
179631849,NOT_STARTED,7.5,54.0,2020-12-16 18:17:56.664901-05:00,-250,+200
