event_id,away_team,home_team,event_start,opening_line,opening_total,opening_capture_time,closing_line,closing_total,closing_capture_time,countdown,line_change,total_change,event_status,current_line,current_total,capture_time
179631779,LA Chargers,LV Raiders,2020-12-17 20:20:00-05:00,-3.5,53.0,2020-12-15 16:02:43.332014-05:00,,,,1 days 11:04:55.787670,0.0,0.0,NOT_STARTED,-3.5,53.0,2020-12-16 09:15:04.212330-05:00
176121455,BUF Bills,DEN Broncos,2020-12-19 16:30:00-05:00,6.5,50.0,2020-12-15 16:02:43.332014-05:00,,,,3 days 07:14:55.787670,0.0,0.0,NOT_STARTED,6.5,50.0,2020-12-16 09:15:04.212330-05:00
179631780,CAR Panthers,GB Packers,2020-12-19 20:15:00-05:00,-8.5,51.0,2020-12-15 16:02:43.332014-05:00,,,,3 days 10:59:55.787670,0.0,0.0,NOT_STARTED,-8.5,51.0,2020-12-16 09:15:04.212330-05:00
179631829,SEA Seahawks,WAS Football Team,2020-12-20 13:00:00-05:00,5.5,44.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,5.5,44.5,2020-12-16 09:15:04.212330-05:00
175321939,HOU Texans,IND Colts,2020-12-20 13:00:00-05:00,-7.5,50.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,-7.5,50.5,2020-12-16 09:15:04.212330-05:00
179631782,TB Buccaneers,ATL Falcons,2020-12-20 13:00:00-05:00,5.5,50.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,5.5,50.5,2020-12-16 09:15:04.212330-05:00
179632598,JAX Jaguars,BAL Ravens,2020-12-20 13:00:00-05:00,-13.5,46.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,-13.5,46.5,2020-12-16 09:15:04.212330-05:00
176185664,NE Patriots,MIA Dolphins,2020-12-20 13:00:00-05:00,-2.0,41.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,-2.0,41.5,2020-12-16 09:15:04.212330-05:00
179631818,CHI Bears,MIN Vikings,2020-12-20 13:00:00-05:00,-3.5,46.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,-3.5,46.5,2020-12-16 09:15:04.212330-05:00
179633751,DET Lions,TEN Titans,2020-12-20 13:00:00-05:00,-10.5,46.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,4.0,NOT_STARTED,-10.5,50.5,2020-12-16 09:15:04.212330-05:00
179631798,SF 49ers,DAL Cowboys,2020-12-20 13:00:00-05:00,3.5,45.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 03:44:55.787670,0.0,0.0,NOT_STARTED,3.5,45.5,2020-12-16 09:15:04.212330-05:00
175163786,NY Jets,LA Rams,2020-12-20 16:05:00-05:00,-16.5,44.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 06:49:55.787670,0.0,0.0,NOT_STARTED,-16.5,44.5,2020-12-16 09:15:04.212330-05:00
175163782,PHI Eagles,ARI Cardinals,2020-12-20 16:05:00-05:00,-6.5,48.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 06:49:55.787670,0.0,0.0,NOT_STARTED,-6.5,48.5,2020-12-16 09:15:04.212330-05:00
176073583,KC Chiefs,NO Saints,2020-12-20 16:25:00-05:00,2.5,50.5,2020-12-15 16:02:43.332014-05:00,,,,4 days 07:09:55.787670,0.0,0.0,NOT_STARTED,2.5,50.5,2020-12-16 09:15:04.212330-05:00
175163815,CLE Browns,NY Giants,2020-12-20 20:20:00-05:00,4.5,45.0,2020-12-15 16:06:51.013658-05:00,,,,4 days 11:04:55.787670,0.0,0.5,NOT_STARTED,4.5,45.5,2020-12-16 09:15:04.212330-05:00
176185431,PIT Steelers,CIN Bengals,2020-12-21 20:15:00-05:00,12.5,40.5,2020-12-15 16:06:51.013658-05:00,,,,5 days 10:59:55.787670,0.0,0.0,NOT_STARTED,12.5,40.5,2020-12-16 09:15:04.212330-05:00
