event_id,event_start,implied_probability_away,away_ML,away_team,tie_ML,implied_probability_tie,current_total,home_team,home_ML,implied_probability_home,total_change,event_status,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_tie,closing_ML_tie,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179637068,2021-01-02 09:30:00-05:00,0.43,135.0,1. FC Köln,225.0,0.31,2.62,FC Augsburg,210.0,0.32,0.0,NOT_STARTED,2.62,,+135,,+225,,+210,,2020-12-23 16:55:03.504354-05:00,,9 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637070,2021-01-02 09:30:00-05:00,0.3,230.0,Eintracht Frankfurt,275.0,0.27,3.27,Bayer Leverkusen,106.0,0.49,0.0,NOT_STARTED,3.27,,+230,,+275,,+106,,2020-12-23 16:55:03.504354-05:00,,9 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637071,2021-01-02 09:30:00-05:00,0.17,475.0,Arminia Bielefeld,310.0,0.24,3.07,Borussia Mönchengladbach,-177.0,0.64,0.0,NOT_STARTED,3.07,,+475,,+310,,-177,,2020-12-23 16:55:03.504354-05:00,,9 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637072,2021-01-02 09:30:00-05:00,0.34,195.0,Werder Bremen,225.0,0.31,2.62,1. FC Union Berlin,143.0,0.41,0.0,NOT_STARTED,2.62,,+195,,+225,,+143,,2020-12-23 16:55:03.504354-05:00,,9 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637073,2021-01-02 09:30:00-05:00,0.5,100.0,TSG Hoffenheim,265.0,0.27,3.27,SC Freiburg,255.0,0.28,0.0,NOT_STARTED,3.27,,+100,,+265,,+255,,2020-12-23 16:55:03.504354-05:00,,9 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637074,2021-01-02 12:30:00-05:00,0.6,-150.0,Hertha BSC,290.0,0.26,2.77,FC Schalke 04,410.0,0.2,0.0,NOT_STARTED,2.77,,-150,,+290,,+410,,2020-12-23 16:55:03.504354-05:00,,9 days 19:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637075,2021-01-02 14:30:00-05:00,0.24,325.0,VfB Stuttgart,290.0,0.26,3.13,RB Leipzig,-129.0,0.56,0.0,NOT_STARTED,3.13,,+325,,+290,,-129,,2020-12-23 16:55:03.504354-05:00,,9 days 21:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637077,2021-01-03 09:30:00-05:00,0.64,-177.0,Borussia Dortmund,320.0,0.24,3.12,VfL Wolfsburg,460.0,0.18,0.0,NOT_STARTED,3.12,,-177,,+320,,+460,,2020-12-23 16:55:03.504354-05:00,,10 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179637078,2021-01-03 12:00:00-05:00,0.89,-835.0,Bayern Munich,800.0,0.11,4.11,Mainz 05,1900.0,0.05,0.0,NOT_STARTED,4.11,,-835,,+800,,+1900,,2020-12-23 16:55:03.504354-05:00,,10 days 19:04:56.495646,2020-12-23 16:55:03.504354-05:00
179641797,2021-01-08 14:30:00-05:00,0.23,330.0,Borussia Mönchengladbach,335.0,0.23,3.67,Bayern Munich,-143.0,0.59,0.0,NOT_STARTED,3.67,,+330,,+335,,-143,,2020-12-23 16:55:03.504354-05:00,,15 days 21:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641798,2021-01-09 09:30:00-05:00,0.31,220.0,Mainz 05,280.0,0.26,3.16,Eintracht Frankfurt,110.0,0.48,0.0,NOT_STARTED,3.16,,+220,,+280,,+110,,2020-12-23 16:55:03.504354-05:00,,16 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641799,2021-01-09 09:30:00-05:00,0.52,-109.0,SC Freiburg,255.0,0.28,2.76,1. FC Köln,295.0,0.25,0.0,NOT_STARTED,2.76,,-109,,+255,,+295,,2020-12-23 16:55:03.504354-05:00,,16 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641800,2021-01-09 09:30:00-05:00,0.27,275.0,FC Schalke 04,255.0,0.28,3.13,TSG Hoffenheim,-106.0,0.51,0.0,NOT_STARTED,3.13,,+275,,+255,,-106,,2020-12-23 16:55:03.504354-05:00,,16 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641801,2021-01-09 09:30:00-05:00,0.7,-235.0,Bayer Leverkusen,385.0,0.21,3.16,Werder Bremen,580.0,0.15,0.0,NOT_STARTED,3.16,,-235,,+385,,+580,,2020-12-23 16:55:03.504354-05:00,,16 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641802,2021-01-09 09:30:00-05:00,0.4,150.0,1. FC Union Berlin,225.0,0.31,2.69,VfL Wolfsburg,188.0,0.35,0.0,NOT_STARTED,2.69,,+150,,+225,,+188,,2020-12-23 16:55:03.504354-05:00,,16 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641803,2021-01-09 12:30:00-05:00,0.44,128.0,RB Leipzig,245.0,0.29,3.0,Borussia Dortmund,205.0,0.33,0.0,NOT_STARTED,3.0,,+128,,+245,,+205,,2020-12-23 16:55:03.504354-05:00,,16 days 19:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641804,2021-01-10 09:30:00-05:00,0.3,230.0,FC Augsburg,270.0,0.27,2.96,VfB Stuttgart,110.0,0.48,0.0,NOT_STARTED,2.96,,+230,,+270,,+110,,2020-12-23 16:55:03.504354-05:00,,17 days 16:34:56.495646,2020-12-23 16:55:03.504354-05:00
179641806,2021-01-10 12:00:00-05:00,0.28,255.0,Arminia Bielefeld,235.0,0.3,2.61,Hertha BSC,110.0,0.48,0.0,NOT_STARTED,2.61,,+255,,+235,,+110,,2020-12-23 16:55:03.504354-05:00,,17 days 19:04:56.495646,2020-12-23 16:55:03.504354-05:00
